,language,sentences,Dependency_length,Intervener_Complexity,Sentence_length,Memory_load
0,Greek,"Όλες αυτές οι σκέψεις με βασανίζουν από χτες το απόγευμα , που γύρισα σ το σπίτι και άνοιξα τον Δημητράκο.",53,29,20,12
1,German,"Statt wie bisher einen kleinen Stimmzettel auszufüllen , müssen die Wähler in Hessen am 18. März 2001 ihr Haupt über einen Papierbogen beugen , der in einigen hessischen Städten und Gemeinden die Ausmaße eines Badetuchs erreichen wird .",148,97,38,14
2,Polish,"Tak długo zwracaj wolność, aż poczujesz, że jest to całkowicie szczere i autentyczne.",48,20,13,10
3,Greek,Έχουμε Προεδρείο στο οποίο υπάρχουν τρεις προσωπικότητες με ιδιαίτερα αξιώματα: ο πρόεδρος και οι δύο αντιπρόεδροι.,51,27,16,11
4,French,"euh donc en fait je crois qu'on a perdu genre à le moins dix minutes à faire le tour de le bâtiment pour avoir une entrée, parce qu'avec Vigipirate tout ça il y a plus que une entrée d'ouverte comme partout.",171,90,41,22
5,Chinese,中文大学中文系部分学者也会客串演出。,18,11,1,5
6,Danish,"I den bog udtalte navngivne såvel som anonyme venner sig om Charles og fik ham til at fremstå som en slem tåbe, som Diana var led og ked af, og så var det Buckingham-mafiaen gik til modangreb, ""siger en nær ven af både prins Charles og Diana til B.T..",233,110,49,29
7,English,"For example, some snakes will routinely go off their food in both the summer and winter, feeding mainly in spring and fall.",82,45,22,18
8,Italian,Vittoria striminzita della Cremonese sui dilettanti del Carpi:,19,11,8,5
9,Norwagein,"Han sa at han aldri angret på at han sto fram, men reaksjonene fra det svarte miljøet såret ham dypt.",90,36,20,14
10,French,Il aurait été amputé du nord de son territoire par les conquêtes chinoises.,37,18,13,6
11,French,Les Français les plus pauvres consacrent 48% de leur revenu à leur logement.,40,21,13,5
12,Finnish,Hän soittaa kenelle lystää .,7,4,5,1
13,Finnish,Suomalaisten mielestä kaikkein arkaluonteisin on tieto ihmisen taloudellisesta asemasta.,19,12,9,3
14,Lithuanian,"Tik atminkite, kad perkrauta vakaro programa ir pernelyg prabangus stalas svečius gali varginti tiek pat, kiek ir viso to trūkumas.",78,50,20,13
15,Lithuanian,"Aštuoni Vilniaus gidai, neapsikentę dėl aižėjančių Vilniaus Švč. Trejybės bažnyčios sienų, surengė akciją, kuria siekė atkreipti dėmesį į griūvantį sostinės paveldą.",95,59,21,11
16,Japanese,高校1年生の少女。,10,7,1,2
17,English,Note that the ratio of Skittles to vodka varies from recipe to recipe.,45,29,13,10
18,Japanese,_________________________________________,0,0,1,0
